frame,Density,Flow,Speed,Speed_CL,Speed_Temp,Density_Bin
26183,15.419804693539211,129.92582885097423,8.425906257127384,8.425906257127384,0.6731369121679522,"(15.3, 15.6]"
26182,15.406286183318617,128.87871938478548,8.36533333544919,8.36533333544919,0.6682978042767433,"(15.3, 15.6]"
26181,15.382802040437834,127.86565584275255,8.312247372528311,8.312247372528311,0.6640568217557482,"(15.3, 15.6]"
26180,15.355501067146298,126.59149291916412,8.244048329364624,8.244048329364624,0.658608470928298,"(15.3, 15.6]"
26179,15.329375666420914,124.89469749684747,8.147409275801756,8.147409275801756,0.650888077165895,"(15.3, 15.6]"
26178,15.308851984470659,123.00686134290143,8.035015392903395,8.035015392903395,0.6419090464275925,"(15.3, 15.6]"
26177,15.300850696548252,121.06306857835247,7.912178935623711,7.912178935623711,0.6320957692522226,"(15.3, 15.6]"
26176,15.314957930896194,119.10478016587312,7.777023006089538,7.777023006089538,0.6212983022152643,"(15.3, 15.6]"
26175,15.367468304039775,117.6094645862659,7.653145089314999,7.653145089314999,0.6114018239209735,"(15.3, 15.6]"
26174,15.437140281906002,116.7675128196051,7.564063724708731,7.564063724708731,0.604285206091046,"(15.3, 15.6]"
26173,15.501188730322669,116.50588031086741,7.515931993200256,7.515931993200256,0.6004400119794329,"(15.3, 15.6]"
26172,15.52877011265217,116.2284776950269,7.4847188059232685,7.4847188059232685,0.5979464228198349,"(15.3, 15.6]"
26171,15.533717343109323,115.74158457950557,7.450990772073495,7.450990772073495,0.5952519251757459,"(15.3, 15.6]"
26170,15.52912826495265,115.46433140984854,7.435338896030466,7.435338896030466,0.5940015130316152,"(15.3, 15.6]"
26169,15.528067765090409,115.20694397837465,7.419271072308067,7.419271072308067,0.5927178712587666,"(15.3, 15.6]"
26168,15.531048633854377,114.75699105828676,7.3888759068168115,7.3888759068168115,0.5902896330112415,"(15.3, 15.6]"
26167,15.539280603206564,113.80947853033693,7.323986318057227,7.323986318057227,0.5851056710638205,"(15.3, 15.6]"
26166,15.555347590293406,112.63248361856816,7.240756464281855,7.240756464281855,0.5784565243654266,"(15.3, 15.6]"
26165,15.57557073505702,111.37084513248055,7.150354040112986,7.150354040112986,0.5712343684571461,"(15.3, 15.6]"
26164,15.41432715268192,108.82059154070784,7.059704290872941,7.059704290872941,0.5573876989523608,"(15.3, 15.6]"
26163,14.527814105217667,101.48244302681877,6.985389700875325,6.985389700875325,0.5191490173646611,"(14.4, 14.7]"
26162,22.797008806954363,165.72238635654006,7.2694794198607955,7.2694794198607955,0.8346577372995521,"(22.5, 22.8]"
26161,22.92128727471035,166.5565930417139,7.266458949078314,7.266458949078314,0.8357820120292262,"(22.8, 23.1]"
26160,23.099167980987918,167.51035343963787,7.251791647972322,7.251791647972322,0.8364015712154096,"(22.8, 23.1]"
26159,23.2964891448034,167.56034708946657,7.192514977169562,7.192514977169562,0.8322723832651807,"(23.1, 23.4]"
26158,23.477184404632172,166.52541922836522,7.093074550946104,7.093074550946104,0.8235053968279277,"(23.4, 23.7]"
